"Missing","MissingUrl","Count","Candidate","CandidatePath","Score","Common"
"frm-qms-014-access-matrix.html","../../../07-Forms-Records/12-FRM-QMS/frm-qms-014-access-matrix.html","3","assessment-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\01-Framework\assessment-matrix.html","0.5","matrix"
"frm-qms-014-access-matrix.html","../../../07-Forms-Records/12-FRM-QMS/frm-qms-014-access-matrix.html","3","training-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\03-Matrices\training-matrix.html","0.5","matrix"
"frm-qms-014-access-matrix.html","../../../07-Forms-Records/12-FRM-QMS/frm-qms-014-access-matrix.html","3","frm-109-access-rights-and-dcr-matrix.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\01-FRM-100\frm-109-access-rights-and-dcr-matrix.html","0.5","access matrix"
"frm-qa-007-fai-report.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-007-fai-report.html","3","frm-522-crash-report.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\05-FRM-500\frm-522-crash-report.html","0.5","report"
"frm-qa-007-fai-report.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-007-fai-report.html","3","frm-651-nonconformance-report.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-651-nonconformance-report.html","0.5","report"
"frm-qms-023-customer-specific-requirements-register.html","../07-Forms-Records/12-FRM-QMS/frm-qms-023-customer-specific-requirements-register.html","3","frm-221-customer-property-register.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\02-FRM-200\frm-221-customer-property-register.html","0.5","customer register"
"frm-qms-023-customer-specific-requirements-register.html","../07-Forms-Records/12-FRM-QMS/frm-qms-023-customer-specific-requirements-register.html","3","frm-123-interested-party-requirements-register.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\01-FRM-100\frm-123-interested-party-requirements-register.html","0.5","requirements register"
"frm-qms-023-customer-specific-requirements-register.html","../07-Forms-Records/12-FRM-QMS/frm-qms-023-customer-specific-requirements-register.html","3","frm-125-customer-csr-register.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\01-FRM-100\frm-125-customer-csr-register.html","0.5","customer register"
"frm-qa-007-fai-report.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-007-fai-report.html","3","frm-652-capa-8d-report.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-652-capa-8d-report.html","0.5","report"
"proc-whs-001-receiving-and-warehouse.html","../../../05-Processes/13-PROC-WHS/proc-whs-001-receiving-and-warehouse.html","3","ojt-role-warehouse-receiving.html","C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\02-Training-Content\02-OJT-Guides\ojt-role-warehouse-receiving.html","0.5","receiving warehouse"
"sop-qms-019-special-process-qualification.html","../04-SOPs/sop-qms-019-special-process-qualification.html","3","sop-401-supplier-control-and-special-process.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\04-SOP-400\sop-401-supplier-control-and-special-process.html","0.5","special process"
"proc-ops-001-order-fulfillment.html","../../05-Processes/08-PROC-OPS/proc-ops-001-order-fulfillment.html","3","sop-201-order-fulfillment-rfq-to-cash.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-201-order-fulfillment-rfq-to-cash.html","0.5","order fulfillment"
"frm-qa-007-fai-report.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-007-fai-report.html","3","frm-653-a3-pdca-report.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-653-a3-pdca-report.html","0.5","report"
"frm-qa-007-fai-report.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-007-fai-report.html","3","frm-811-incident-report.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\08-FRM-800\frm-811-incident-report.html","0.5","report"
"sop-qms-024-organizational-knowledge-management.html","../04-SOPs/sop-qms-024-organizational-knowledge-management.html","2","sop-105-organizational-knowledge-management.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-105-organizational-knowledge-management.html","1","organizational knowledge management"
"frm-qa-014-spc-capability-log.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-014-spc-capability-log.html","2","frm-631-spc-and-capability-log.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-631-spc-and-capability-log.html","1","spc capability log"
"frm-qms-011-lessons-learned-log.html","../07-Forms-Records/12-FRM-QMS/frm-qms-011-lessons-learned-log.html","2","frm-151-lessons-learned-log.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\01-FRM-100\frm-151-lessons-learned-log.html","1","lessons learned log"
"frm-qms-003-management-review-minutes.html","../07-Forms-Records/12-FRM-QMS/frm-qms-003-management-review-minutes.html","2","frm-911-management-review-minutes.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\09-FRM-900\frm-911-management-review-minutes.html","1","management review minutes"
"sop-qms-020-continual-improvement-and-kaizen.html","../04-SOPs/sop-qms-020-continual-improvement-and-kaizen.html","2","sop-903-continual-improvement-and-kaizen.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\09-SOP-900\sop-903-continual-improvement-and-kaizen.html","1","continual improvement kaizen"
"wi-cnc-001-machine-type-quick-reference.html","../06-Work-Instructions/01-WI-CNC/wi-cnc-001-machine-type-quick-reference.html","2","wi-511-machine-type-quick-reference.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\wi-511-machine-type-quick-reference.html","0.8","machine type quick reference"
"proc-qa-004-final-inspection-coc-release.html","../05-Processes/11-PROC-QA/proc-qa-004-final-inspection-coc-release.html","2","sop-605-final-inspection-coc-and-shipment-release.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\06-SOP-600\sop-605-final-inspection-coc-and-shipment-release.html","0.8","final inspection coc release"
"sop-qms-009-first-article-inspection.html","../../04-SOPs/sop-qms-009-first-article-inspection.html","2","sop-302-first-article-inspection-fai.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-302-first-article-inspection-fai.html","0.75","first article inspection"
"proc-cnc-001-cnc-machining-execution.html","../../05-Processes/01-PROC-CNC/proc-cnc-001-cnc-machining-execution.html","2","sop-502-cnc-machining-operations.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\05-SOP-500\sop-502-cnc-machining-operations.html","0.75","cnc cnc machining"
