"Missing","Count","Candidate","CandidatePath","Score","Common"
"proc-qa-002-layered-process-audit.html","2","frm-902-layered-process-audit-checklist.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\09-FRM-900\frm-902-layered-process-audit-checklist.html","0.6","layered process audit"
"proc-eng-001-engineering-dfm-and-quoting.html","2","sop-301-engineering-dfm-quoting-and-machining-planning.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-301-engineering-dfm-quoting-and-machining-planning.html","0.571","engineering dfm and quoting"
"proc-qa-005-process-fmea-and-control-plan-execution.html","2","sop-103-risk-opportunity-fmea-and-control-plan.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-103-risk-opportunity-fmea-and-control-plan.html","0.571","fmea and control plan"
"proc-qa-004-final-inspection-coc-release.html","2","sop-605-final-inspection-coc-and-shipment-release.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\06-SOP-600\sop-605-final-inspection-coc-and-shipment-release.html","0.571","final inspection coc release"
"annex-dep-hse-001-hse.html","2","training-matrix-hse.html","C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\03-Matrices\training-matrix-hse.html","0.5","hse hse"
"wi-cnc-005-mill-turn-multitask-guide.html","2","wi-515-mill-turn-guide.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\wi-515-mill-turn-guide.html","0.5","mill turn guide"
"frm-hr-trn-011-skill-matrix-bonus-map.html","2","skill-matrix-bonus.html","C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\01-Framework\skill-matrix-bonus.html","0.5","skill matrix bonus"
"sop-qms-015-contingency-operation-plan.html","2","sop-108-operational-contingency-plan.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-108-operational-contingency-plan.html","0.5","contingency plan"
"frm-whs-004-part-label.html","2","frm-704-part-id-label.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\07-FRM-700\frm-704-part-id-label.html","0.5","part label"
"frm-eng-001-costing-sheet.html","2","frm-301-costing-sheet.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\03-FRM-300\frm-301-costing-sheet.html","0.5","costing sheet"
"frm-qms-016-quarterly-access-review-evidence-pack.html","2","frm-111-quarterly-access-review.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\01-FRM-100\frm-111-quarterly-access-review.html","0.5","quarterly access review"
"sop-qms-002-quality-policy-objectives.html","2","pol-qms-001-quality-policy.html","C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\02-Policies-Objectives\pol-qms-001-quality-policy.html","0.5","quality policy"
"proc-hse-001-incident-near-miss-management.html","2","sop-802-incident-near-miss-and-ehs.html","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\08-SOP-800\sop-802-incident-near-miss-and-ehs.html","0.5","incident near miss"
"frm-whs-007-packaging-checklist.html","2","frm-709-clean-packaging-checklist.html","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\07-FRM-700\frm-709-clean-packaging-checklist.html","0.5","packaging checklist"
