"File","LegacyBase","OldUrl","NewUrl","Replacements","Target"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\01-Quality-Manual\qms-man-001-qms-manual.html","sop-qms-019-special-process-qualification.html","../04-SOPs/sop-qms-019-special-process-qualification.html","../../03-Tai-Lieu-Van-Hanh/01-SOPs/04-SOP-400/sop-401-supplier-control-and-special-process.html","3","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\04-SOP-400\sop-401-supplier-control-and-special-process.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\01-Org-Chart\annex-org-001-org-chart-fullpage.html","proc-ops-001-order-fulfillment.html","../../05-Processes/08-PROC-OPS/proc-ops-001-order-fulfillment.html","../../../03-Tai-Lieu-Van-Hanh/01-SOPs/02-SOP-200/sop-201-order-fulfillment-rfq-to-cash.html","2","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\02-SOP-200\sop-201-order-fulfillment-rfq-to-cash.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-job-001-org-raci-matrix.html","annex-qms-008-dashboard-kpi-dictionary-and-data-model.html","../../09-Annexes-References/01-ANNEX-QMS/annex-qms-008-dashboard-kpi-dictionary-and-data-model.html","../../../03-Tai-Lieu-Van-Hanh/03-Reference/03-ANNEX-Digital/ref-012-power-bi-deployment.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-Digital\ref-012-power-bi-deployment.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-job-001-org-raci-matrix.html","annex-qms-009-tier-meeting-cadence-and-escalation-standard-work.html","../../09-Annexes-References/01-ANNEX-QMS/annex-qms-009-tier-meeting-cadence-and-escalation-standard-work.html","../../../03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/","2","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-025-authority-matrix.html","annex-dep-hr-001-hr.html","../02-Department-Handbooks/annex-dep-hr-001-hr.html","../../../10-Training-Academy/01-Competency-System/03-Matrices/training-matrix-finance-hr.html","3","C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\03-Matrices\training-matrix-finance-hr.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-025-authority-matrix.html","annex-dep-pro-001-production.html","../02-Department-Handbooks/annex-dep-pro-001-production.html","../../../10-Training-Academy/01-Competency-System/03-Matrices/training-matrix-production.html","2","C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\03-Matrices\training-matrix-production.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-025-authority-matrix.html","annex-dep-whs-001-warehouse.html","../02-Department-Handbooks/annex-dep-whs-001-warehouse.html","../../../10-Training-Academy/01-Competency-System/03-Matrices/training-matrix-warehouse.html","2","C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\03-Matrices\training-matrix-warehouse.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-025-authority-matrix.html","proc-cnc-002-program-setup-release-control.html","../../05-Processes/01-PROC-CNC/proc-cnc-002-program-setup-release-control.html","../../../03-Tai-Lieu-Van-Hanh/01-SOPs/05-SOP-500/sop-502-cnc-machining-operations.html","2","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\05-SOP-500\sop-502-cnc-machining-operations.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-025-authority-matrix.html","proc-eng-001-engineering-dfm-and-quoting.html","../../05-Processes/02-PROC-ENG/proc-eng-001-engineering-dfm-and-quoting.html","../../../03-Tai-Lieu-Van-Hanh/01-SOPs/03-SOP-300/sop-301-engineering-dfm-quoting-and-machining-planning.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-301-engineering-dfm-quoting-and-machining-planning.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-025-authority-matrix.html","proc-eng-002-engineering-release-and-baseline-package.html","../../05-Processes/02-PROC-ENG/proc-eng-002-engineering-release-and-baseline-package.html","../../../03-Tai-Lieu-Van-Hanh/01-SOPs/01-SOP-100/sop-106-change-and-configuration-management.html","2","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-106-change-and-configuration-management.html"
