"File","MarkerCount"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-22.html","31"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\16-C16\C16-L4.html","30"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\01-C01\C01-L2.html","29"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\03-C03\C03-L3.html","29"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\02-Training-Content\02-OJT-Guides\ojt-role-index.html","28"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\11-C11\C11-L1.html","28"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\11-C11\C11-L3.html","28"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-24.html","28"
"C:\Users\TEST4\qms.hesem.com.vn\01-QMS-Portal\scripts\portal\01-data-config.js","28"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\03-MRR-Pack\mrr-07-training-cert.html","28"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\12-C12\C12-L2.html","27"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-26.html","27"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\16-C16\C16-L1.html","27"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\19-C19\C19-L2.html","27"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\16-C16\C16-L2.html","26"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\19-C19\C19-L1.html","26"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\08-C08\C08-L1.html","26"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\02-C02\C02-L3.html","26"
