File,ChangedLines,BeforeMarkers,AfterMarkers,BeforeViet,AfterViet
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\10-ANNEX-100-Foundation-Maps-and-Control\annex-101-role-based-access-map.html",1,3,2,937,937
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\10-ANNEX-100-Foundation-Maps-and-Control\annex-102-access-request-field-dictionary.html",1,5,4,652,652
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\10-ANNEX-100-Foundation-Maps-and-Control\annex-103-org-raci-matrix.html",1,2,1,111,111
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\10-ANNEX-100-Foundation-Maps-and-Control\annex-104-org-chart-fullpage.html",1,5,4,293,293
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\10-ANNEX-100-Foundation-Maps-and-Control\annex-105-process-map-detailed.html",1,4,3,802,802
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\10-ANNEX-100-Foundation-Maps-and-Control\annex-106-iso9001-matrix-full.html",1,9,8,664,664
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\10-ANNEX-100-Foundation-Maps-and-Control\annex-107-audit-evidence-pack-master.html",1,10,9,305,305
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\11-ANNEX-110-Digital-Control-and-Resilience\annex-110-dashboard-kpi-dictionary-and-data-model.html",1,10,9,1331,1331
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\11-ANNEX-110-Digital-Control-and-Resilience\annex-111-document-writing-and-cross-reference-rules.html",1,3,2,148,148
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\11-ANNEX-110-Digital-Control-and-Resilience\annex-112-climate-context-and-resilience-assessment.html",1,2,1,258,258
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\11-ANNEX-110-Digital-Control-and-Resilience\annex-113-dashboard-deployment-access-and-refresh-control.html",1,4,3,1044,1044
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\11-ANNEX-110-Digital-Control-and-Resilience\annex-114-go-live-runbook-and-cutover-control.html",1,3,2,109,109
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\11-ANNEX-110-Digital-Control-and-Resilience\annex-115-epicor-transaction-and-interface-map.html",1,3,2,576,576
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\11-ANNEX-110-Digital-Control-and-Resilience\annex-117-escalation-matrix-and-sla.html",1,11,10,1096,1096
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\11-ANNEX-110-Digital-Control-and-Resilience\annex-118-offline-fallback-kit.html",1,10,9,1587,1587
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\11-ANNEX-110-Digital-Control-and-Resilience\annex-119-change-roadmap-and-priority-register.html",1,25,24,667,667
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\12-ANNEX-120-Authority-KPI-and-Deputy-Control\annex-120-authority-matrix.html",1,4,3,1116,1116
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\12-ANNEX-120-Authority-KPI-and-Deputy-Control\annex-121-raci-master-matrix.html",1,8,7,506,506
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\12-ANNEX-120-Authority-KPI-and-Deputy-Control\annex-122-kpi-cascade-dictionary.html",1,7,6,832,832
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\12-ANNEX-120-Authority-KPI-and-Deputy-Control\annex-123-deputy-backup-matrix.html",1,17,16,1270,1270
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\12-ANNEX-120-Authority-KPI-and-Deputy-Control\annex-124-dashboard-evidence-pack-worked-examples.html",1,9,8,725,725
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\13-ANNEX-130-M365-Records-Control\annex-131-m365-records-metadata-list-schema-and-register-catalog.html",1,7,6,361,361
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\13-ANNEX-130-M365-Records-Control\annex-132-m365-records-flow-approval-sharing-and-exception-control.html",1,3,2,511,511
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\13-ANNEX-130-M365-Records-Control\annex-133-m365-records-site-topology-library-and-folder-blueprint.html",1,19,18,638,638
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\01-ANNEX-100\13-ANNEX-130-M365-Records-Control\annex-134-m365-records-provisioning-permissions-and-automation-architecture.html",1,18,17,872,872
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-300\annex-301-setup-sheet-and-tool-list-standard.html",1,5,4,831,831
"C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-300\annex-302-approved-materials-list.html",1,10,9,1034,1034
