"MissingUrl","Missing","Count","SuggestedPath","SuggestedBase","Score","Top2Score","Margin","Common"
"../07-Forms-Records/12-FRM-QMS/frm-qms-003-management-review-minutes.html","frm-qms-003-management-review-minutes.html","2","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\09-FRM-900\frm-911-management-review-minutes.html","frm-911-management-review-minutes.html","1","0.667","0.333","management review minutes"
"../07-Forms-Records/12-FRM-QMS/frm-qms-011-lessons-learned-log.html","frm-qms-011-lessons-learned-log.html","2","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\01-FRM-100\frm-151-lessons-learned-log.html","frm-151-lessons-learned-log.html","1","0","1","lessons learned log"
"../04-SOPs/sop-qms-024-organizational-knowledge-management.html","sop-qms-024-organizational-knowledge-management.html","2","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-105-organizational-knowledge-management.html","sop-105-organizational-knowledge-management.html","1","0","1","organizational knowledge management"
"../../../07-Forms-Records/11-FRM-QA/frm-qa-014-spc-capability-log.html","frm-qa-014-spc-capability-log.html","2","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-631-spc-and-capability-log.html","frm-631-spc-and-capability-log.html","1","0.667","0.333","spc capability log"
"../06-Work-Instructions/01-WI-CNC/wi-cnc-001-machine-type-quick-reference.html","wi-cnc-001-machine-type-quick-reference.html","2","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\wi-511-machine-type-quick-reference.html","wi-511-machine-type-quick-reference.html","0.8","0","0.8","machine type quick reference"
"../05-Processes/11-PROC-QA/proc-qa-004-final-inspection-coc-release.html","proc-qa-004-final-inspection-coc-release.html","2","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\06-SOP-600\sop-605-final-inspection-coc-and-shipment-release.html","sop-605-final-inspection-coc-and-shipment-release.html","0.8","0.75","0.05","final inspection coc release"
"../../../05-Processes/01-PROC-CNC/proc-cnc-001-cnc-machining-execution.html","proc-cnc-001-cnc-machining-execution.html","2","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\05-SOP-500\sop-502-cnc-machining-operations.html","sop-502-cnc-machining-operations.html","0.75","0.5","0.25","cnc cnc machining"
"../../04-SOPs/sop-qms-009-first-article-inspection.html","sop-qms-009-first-article-inspection.html","2","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-302-first-article-inspection-fai.html","sop-302-first-article-inspection-fai.html","0.75","0","0.75","first article inspection"
"../05-Processes/11-PROC-QA/proc-qa-002-layered-process-audit.html","proc-qa-002-layered-process-audit.html","2","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\09-FRM-900\frm-902-layered-process-audit-checklist.html","frm-902-layered-process-audit-checklist.html","0.75","0","0.75","layered process audit"
"../05-Processes/01-PROC-CNC/proc-cnc-001-cnc-machining-execution.html","proc-cnc-001-cnc-machining-execution.html","2","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\05-SOP-500\sop-502-cnc-machining-operations.html","sop-502-cnc-machining-operations.html","0.75","0.5","0.25","cnc cnc machining"
"../../05-Processes/01-PROC-CNC/proc-cnc-001-cnc-machining-execution.html","proc-cnc-001-cnc-machining-execution.html","2","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\05-SOP-500\sop-502-cnc-machining-operations.html","sop-502-cnc-machining-operations.html","0.75","0.5","0.25","cnc cnc machining"
"../../04-SOPs/sop-qms-020-continual-improvement-and-kaizen.html","sop-qms-020-continual-improvement-and-kaizen.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\09-SOP-900\sop-903-continual-improvement-and-kaizen.html","sop-903-continual-improvement-and-kaizen.html","1","0","1","continual improvement kaizen"
"../../../07-Forms-Records/12-FRM-QMS/frm-qms-003-management-review-minutes.html","frm-qms-003-management-review-minutes.html","1","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\09-FRM-900\frm-911-management-review-minutes.html","frm-911-management-review-minutes.html","1","0.667","0.333","management review minutes"
"../../04-SOPs/sop-qms-024-organizational-knowledge-management.html","sop-qms-024-organizational-knowledge-management.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\01-SOP-100\sop-105-organizational-knowledge-management.html","sop-105-organizational-knowledge-management.html","1","0","1","organizational knowledge management"
"../03-Job-Descriptions/13-JD-IT/frm-hr-jd-it-02-sys-admin.html","frm-hr-jd-it-02-sys-admin.html","1","C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\03-Job-Descriptions\10-JD-IT\jd-it-admin.html","jd-it-admin.html","1","0","1","admin"
