"File","OldUrl","NewUrl","Replacements","Target"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-026-raci-master-matrix.html","../../05-Processes/01-PROC-CNC/proc-cnc-001-cnc-machining-execution.html","../../../03-Tai-Lieu-Van-Hanh/01-SOPs/05-SOP-500/sop-502-cnc-machining-operations.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\05-SOP-500\sop-502-cnc-machining-operations.html"
"C:\Users\TEST4\qms.hesem.com.vn\02-Tai-Lieu-He-Thong\03-Organization\04-RACI-Authority\annex-qms-026-raci-master-matrix.html","../../05-Processes/11-PROC-QA/proc-qa-003-aql-sampling-inspection-execution.html","../../../03-Tai-Lieu-Van-Hanh/01-SOPs/06-SOP-600/sop-603-aql-sampling-inspection.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\06-SOP-600\sop-603-aql-sampling-inspection.html"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\09-C09\C09-L1.html","../../../09-Annexes-References/04-ANNEX-OPS/annex-ops-001-dispatch-capacity-wip-rules.html","../../../../03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\09-C09\C09-L2.html","../../../09-Annexes-References/04-ANNEX-OPS/annex-ops-001-dispatch-capacity-wip-rules.html","../../../../03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\09-C09\C09-L3.html","../../../09-Annexes-References/04-ANNEX-OPS/annex-ops-001-dispatch-capacity-wip-rules.html","../../../../03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\09-C09\C09-L4.html","../../../09-Annexes-References/04-ANNEX-OPS/annex-ops-001-dispatch-capacity-wip-rules.html","../../../../03-Tai-Lieu-Van-Hanh/02-Work-Instructions/05-WI-500/","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\02-Work-Instructions\05-WI-500\"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\10-C10\C10-L1.html","../../../04-SOPs/sop-qms-009-first-article-inspection.html","../../../../03-Tai-Lieu-Van-Hanh/01-SOPs/03-SOP-300/sop-302-first-article-inspection-fai.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\03-SOP-300\sop-302-first-article-inspection-fai.html"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\15-C15\C15-L3.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-007-fai-report.html","../../../../04-Bieu-Mau/03-FRM-300/frm-311-fai-report.html","1","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\03-FRM-300\frm-311-fai-report.html"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\17-C17\C17-L1.html","../../../05-Processes/01-PROC-CNC/proc-cnc-001-cnc-machining-execution.html","../../../../03-Tai-Lieu-Van-Hanh/01-SOPs/05-SOP-500/sop-502-cnc-machining-operations.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\05-SOP-500\sop-502-cnc-machining-operations.html"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\17-C17\C17-L2.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-007-fai-report.html","../../../../04-Bieu-Mau/03-FRM-300/frm-311-fai-report.html","2","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\03-FRM-300\frm-311-fai-report.html"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\17-C17\C17-L4.html","../../../05-Processes/01-PROC-CNC/proc-cnc-001-cnc-machining-execution.html","../../../../03-Tai-Lieu-Van-Hanh/01-SOPs/05-SOP-500/sop-502-cnc-machining-operations.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\01-SOPs\05-SOP-500\sop-502-cnc-machining-operations.html"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\01-Competency-System\02-Levels\17-C17\C17-L4.html","../../../07-Forms-Records/11-FRM-QA/frm-qa-014-spc-capability-log.html","../../../../04-Bieu-Mau/06-FRM-600/frm-631-spc-and-capability-log.html","2","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\06-FRM-600\frm-631-spc-and-capability-log.html"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\02-Training-Content\01-Modules\C08.html","../../../07-Forms-Records/04-FRM-HR/frm-hr-trn-006-certification-tracking-log.html","../../../04-Bieu-Mau/08-FRM-800/frm-806-certification-tracking-log.html","1","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\08-FRM-800\frm-806-certification-tracking-log.html"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-09.html","../../../09-Annexes-References/01-ANNEX-QMS/annex-qms-005-m365-lists-and-field-mapping.html","../../../03-Tai-Lieu-Van-Hanh/03-Reference/03-ANNEX-Digital/ref-010-m365-lists-and-field-mapping.html","1","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-Digital\ref-010-m365-lists-and-field-mapping.html"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-14.html","../../../07-Forms-Records/12-FRM-QMS/frm-qms-008-pilot-dry-run-log.html","../../../04-Bieu-Mau/01-FRM-100/frm-106-pilot-run-log.html","1","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\01-FRM-100\frm-106-pilot-run-log.html"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-16.html","../../../07-Forms-Records/12-FRM-QMS/frm-qms-003-management-review-minutes.html","../../../04-Bieu-Mau/09-FRM-900/frm-911-management-review-minutes.html","1","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\09-FRM-900\frm-911-management-review-minutes.html"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\03-System-Operations\01-System-Guides\SYS-OPS-17.html","../../../09-Annexes-References/01-ANNEX-QMS/annex-qms-005-m365-lists-and-field-mapping.html","../../../03-Tai-Lieu-Van-Hanh/03-Reference/03-ANNEX-Digital/ref-010-m365-lists-and-field-mapping.html","2","C:\Users\TEST4\qms.hesem.com.vn\03-Tai-Lieu-Van-Hanh\03-Reference\03-ANNEX-Digital\ref-010-m365-lists-and-field-mapping.html"
"C:\Users\TEST4\qms.hesem.com.vn\10-Training-Academy\04-Templates-Tools\qms-ops-map.html","../../07-Forms-Records/11-FRM-QA/frm-qa-007-fai-report.html","../../04-Bieu-Mau/03-FRM-300/frm-311-fai-report.html","1","C:\Users\TEST4\qms.hesem.com.vn\04-Bieu-Mau\03-FRM-300\frm-311-fai-report.html"
